,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
13333,0.71,0.625,6,-9.008,0,0.0295,0.029,1.1e-05,0.108,0.784,140.994,3ynXiIUe8bMKDwV7Qd47tc,307014,4
13334,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,23ASYKSnaaYi814Pk6OzE9,197443,4
13335,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,0bjGP9sAUud8GxsCfYHidt,197443,4
13336,0.874,0.692,5,-5.28,0,0.043,0.0412,7.4e-05,0.324,0.938,116.02,6kW4Kc6YCaxYR9qXet7DwG,178560,4
13337,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,4UEkDkzCl1E9X0eXOCzcYJ,249444,4
13338,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,2vlE8jn4EGZKeIiFvFWd46,203123,4
13339,0.615,0.28,0,-8.648,1,0.0433,0.932,0.0,0.0877,0.387,72.797,54nejdJw1JvmwtOVUKSoQV,213827,4
13340,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,1ccN518SNmxtuVhW0YYUqo,249444,4
13341,0.799,0.579,4,-5.144,0,0.0487,0.00381,0.0,0.367,0.363,142.987,4lEb5QS2obdYRdg0C8Wgbf,203161,4
13342,0.799,0.579,4,-5.144,0,0.0487,0.00381,0.0,0.367,0.363,142.987,5WgBY9qQMdlzjeufGCT0Vf,203161,4
13343,0.785,0.764,2,-4.634,0,0.073,0.0225,0.000239,0.114,0.636,128.001,7eV5jkcGJroIbhhzVGUW8W,401380,4
13344,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,2cDrWtoQzXAiD9ZsW6dufh,249444,4
13345,0.726,0.699,5,-4.165,1,0.0431,0.049,0.0,0.309,0.866,143.994,51TVDniA2iTlRNCe8CLhv9,233478,4
13346,0.726,0.699,5,-4.165,1,0.0431,0.049,0.0,0.309,0.866,143.994,3ZFRMvZom6pgA5iby75nKg,233478,4
13347,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,3eqkNFvNDl6wE7CCUaBCD9,197443,4
13348,0.635,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.014,5VTX7SjhGWRGbUv3oOa08B,220733,4
13349,0.818,0.804,1,-4.282,1,0.0798,0.034,0.0,0.154,0.634,106.969,771swG5al9pKqa2c76JyNP,225983,4
13350,0.635,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.014,308MN3I4M8NKyQg1inWVUY,220733,4
13351,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,0OlwwBoi5NpcWjQWTlG854,197443,4
13352,0.832,0.617,7,-11.166,1,0.0971,0.00295,0.000763,0.337,0.909,102.017,0FmlS5fgtemjy3XOtuU4tr,165001,4
13353,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,5fAgQ5A6r2mo5EOPjQPxSO,249444,4
13354,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,0YYRrIBIec89r8RKQx63vo,249444,4
13355,0.635,0.843,5,-5.413,1,0.0432,0.0151,0.0,0.0876,0.434,109.014,5Q5EhpFygZCWnTVTEY8nCm,220733,4
13356,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,61bSXjs8GinYEjdUZx9VNv,203123,4
13357,0.799,0.579,4,-5.144,0,0.0487,0.00381,0.0,0.367,0.363,142.987,47u89QKZJCKRZMBwiKfW8u,203161,4
13358,0.872,0.699,5,-5.071,0,0.0349,0.0291,0.000123,0.0639,0.934,116.033,2PruDOOH8IqQ5LQxmXBp2s,176093,4
13359,0.548,0.627,9,-8.949,1,0.0409,0.0471,0.0,0.285,0.493,143.994,4LxIjqDfOvDQARy610GvVi,255455,4
13360,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,2KXtHScxlr0grVZVokhKa1,249444,4
13361,0.548,0.627,9,-8.949,1,0.0409,0.0471,0.0,0.285,0.493,143.994,5o2sYqz9VecxUcpiMP0qFN,255455,4
13362,0.799,0.579,4,-5.144,0,0.0487,0.00381,0.0,0.367,0.363,142.987,64IdDagU6x22BQEoWtjG9B,203161,4
13363,0.705,0.451,9,-8.222,0,0.043,0.381,0.0,0.276,0.868,77.998,5HnMhSuDcJONXnGexCFjhB,243013,4
13364,0.874,0.692,5,-5.28,0,0.043,0.0412,7.4e-05,0.324,0.938,116.02,2Z7J1aGoRTnLPypuyHZIYj,178560,4
13365,0.615,0.28,0,-8.648,1,0.0433,0.932,0.0,0.0877,0.387,72.797,4Kl4leLGWnWvpinQUe7S21,213827,4
